order,edge_id,u,v,nominal_forecast,deviation_abs,covered_by_pi,rho_implied,robust_cost_component
1,0,0,1,4.920241570705131,0.0515732704401106,True,0.0,0.0
2,4,1,2,4.940780328766594,0.1044534452998648,True,0.0,0.0
3,8,2,3,4.992634448330118,0.2244802869631303,True,0.0,0.0
4,12,3,4,5.090659514775633,0.3687444755305078,True,0.0,0.0
5,16,4,5,5.243262714618316,0.4821156088077263,True,0.0,0.0
6,20,5,6,5.442663957273803,0.5244411197679284,True,0.0,0.0
7,24,6,7,5.660486386982619,0.4890491729399056,True,0.0,0.0
8,28,7,8,5.851267723706401,0.4043483309128497,True,0.0,0.0
9,32,8,9,5.96334095729707,0.3186071588791606,True,0.0,0.0
10,36,9,10,5.953420915671589,0.2753550654067611,True,0.0,0.0
11,40,10,11,5.799482272102421,0.2905056382584723,True,0.0,0.0
12,44,11,12,5.506974202082958,0.3413612084105217,True,0.0,0.0
13,48,12,13,5.106010821437947,0.3728515125125922,True,0.0,0.0
14,52,13,14,4.640874949466397,0.3194982997891546,True,0.0,0.0
15,56,14,15,4.15638877684399,0.135004869349232,True,0.0,0.0
16,60,15,16,3.686990417790732,0.1825769055447867,True,0.0,0.0
17,64,16,17,3.253049734391068,0.5816309464977638,True,0.0,0.0
18,68,17,18,2.865527691029192,0.969789278683426,False,0.014687101557773974,0.014687101557773974
19,74,18,118,2.536012069573103,1.2459544373342553,False,0.2908522602086032,0.2908522602086032
20,470,118,119,2.5618743484558144,0.8487445468719454,True,0.0,0.0
21,474,119,120,2.2779011707200114,0.9206961640878092,True,0.0,0.0
22,480,120,220,2.1162906700599295,0.8533086275710575,True,0.0,0.0
23,878,220,320,2.054302661383512,0.6478431583849003,True,0.0,0.0
24,1274,320,321,1.9757329231902343,0.6312238306153803,True,0.0,0.0
25,1280,321,421,1.881771404439491,0.5985758496179647,True,0.0,0.0
26,1678,421,521,1.7193194867807546,0.6912792042338489,True,0.0,0.0
27,2076,521,621,1.5395660110845368,0.7170334600681547,True,0.0,0.0
28,2474,621,721,1.3578662209012982,0.6062168348335186,True,0.0,0.0
29,2872,721,821,1.2008847212405005,0.3950480227979307,True,0.0,0.0
30,3268,821,822,1.1022815669626855,0.2047123448663192,True,0.0,0.0
31,3274,822,922,1.010228663631522,0.2760012527812623,True,0.0,0.0
32,3672,922,1022,1.0,0.3024775668361976,True,0.0,0.0
33,4070,1022,1122,1.0908517082253069,0.5148780249148264,True,0.0,0.0
34,4468,1122,1222,1.2545349542435011,0.8196572790465084,True,0.0,0.0
35,4866,1222,1322,1.4479528730005868,1.0685250243312905,False,0.11342284720563844,0.11342284720563844
36,5264,1322,1422,1.6318160939619897,1.1473406052239592,False,0.19223842809830716,0.19223842809830716
37,5662,1422,1522,1.786320867738458,1.0409033764739872,False,0.08580119934833519,0.08580119934833519
38,6058,1522,1523,1.915540655842734,0.8352550560832581,True,0.0,0.0
39,6062,1523,1524,1.8274200938643117,0.8696795058324807,True,0.0,0.0
40,6068,1524,1624,1.8305186041571664,0.965021068765158,False,0.009918891639505989,0.009918891639505989
41,6464,1624,1625,1.8665947050696192,0.7617250705080505,True,0.0,0.0
42,6470,1625,1725,1.8827088223906563,0.8701185303309908,True,0.0,0.0
43,6866,1725,1726,1.930643873313005,0.8205998970038233,True,0.0,0.0
44,6870,1726,1727,1.9511797838095355,0.8871589630960455,True,0.0,0.0
45,6874,1727,1728,1.999435207761292,0.8823911074901511,True,0.0,0.0
46,6878,1728,1729,2.0789705246900994,0.7969150910773397,True,0.0,0.0
47,6882,1729,1730,2.204319943126388,0.6520059685938753,True,0.0,0.0
48,6886,1730,1731,2.393661043235394,0.4864024977653449,True,0.0,0.0
49,6890,1731,1732,2.6602516865385315,0.3368687503733438,True,0.0,0.0
50,6894,1732,1733,3.006604077743533,0.2228728030301909,True,0.0,0.0
51,6898,1733,1734,3.423708990719721,0.1424767470022372,True,0.0,0.0
52,6902,1734,1735,3.894864264484757,0.0800629542928605,True,0.0,0.0
53,6906,1735,1736,4.401262543625212,0.0204477521403605,True,0.0,0.0
54,6910,1736,1737,4.925705664620759,0.038790056307949,True,0.0,0.0
55,6914,1737,1738,5.452042514029896,0.0833660547443395,True,0.0,0.0
56,6918,1738,1739,5.960539172435625,0.0886897012357712,True,0.0,0.0
57,6922,1739,1740,6.42203853564638,0.0333395706101509,True,0.0,0.0
58,6926,1740,1741,6.795063361506571,0.0870334200137117,True,0.0,0.0
59,6930,1741,1742,7.029209873118969,0.2522413872744664,True,0.0,0.0
60,6934,1742,1743,7.075519256934079,0.4206013915779927,True,0.0,0.0
61,6938,1743,1744,6.901150476080038,0.5420521788524617,True,0.0,0.0
62,6942,1744,1745,6.503141972371533,0.5765597039833485,True,0.0,0.0
63,6946,1745,1746,5.915570235596689,0.5105148609837347,True,0.0,0.0
64,6950,1746,1747,5.206357623751141,0.3641768425741398,True,0.0,0.0
65,6954,1747,1748,4.463671113142536,0.1864305364954583,True,0.0,0.0
66,6958,1748,1749,3.775825243063795,0.0381196867329656,True,0.0,0.0
67,6962,1749,1750,3.2112157054056487,0.0299289989866204,True,0.0,0.0
68,6966,1750,1751,2.80494249853608,0.0045351054301296,True,0.0,0.0
69,6970,1751,1752,2.556322414114492,0.1277527193469478,True,0.0,0.0
70,6974,1752,1753,2.437411942996004,0.296826680304461,True,0.0,0.0
71,6978,1753,1754,2.408622927989736,0.4578630031951971,True,0.0,0.0
72,6982,1754,1755,2.4351555422382005,0.5672942048361818,True,0.0,0.0
73,6986,1755,1756,2.498207267954739,0.6069571633599047,True,0.0,0.0
74,6990,1756,1757,2.597527375425452,0.5867005082013117,True,0.0,0.0
75,6994,1757,1758,2.745644000723858,0.5345482929339878,True,0.0,0.0
76,6998,1758,1759,2.9573268817007543,0.4805486415664575,True,0.0,0.0
77,7002,1759,1760,3.2392302277105323,0.4431466378270627,True,0.0,0.0
78,7006,1760,1761,3.583788708575587,0.4247813637853115,True,0.0,0.0
79,7010,1761,1762,3.968982527446632,0.4176603466654747,True,0.0,0.0
80,7014,1762,1763,4.362882161819591,0.4146421578855683,True,0.0,0.0
81,7018,1763,1764,4.730225781270683,0.4173953089820905,True,0.0,0.0
82,7022,1764,1765,5.038278825896253,0.4361414526251801,True,0.0,0.0
83,7026,1765,1766,5.260545449393915,0.4810349353554528,True,0.0,0.0
84,7030,1766,1767,5.378551695682202,0.5510379224622239,True,0.0,0.0
85,7034,1767,1768,5.382864313786089,0.6283379615107725,True,0.0,0.0
86,7038,1768,1769,5.2742741315666875,0.6833729458900999,True,0.0,0.0
87,7042,1769,1770,5.064990820921968,0.6890077877802154,True,0.0,0.0
88,7046,1770,1771,4.778650439480312,0.6362777632188967,True,0.0,0.0
89,7050,1771,1772,4.447779102737699,0.5422585814541625,True,0.0,0.0
90,7054,1772,1773,4.108346512557044,0.4444650375710495,True,0.0,0.0
91,7058,1773,1774,3.792666084501731,0.3836943014274356,True,0.0,0.0
92,7062,1774,1775,3.5231621556886057,0.3840528283614239,True,0.0,0.0
93,7066,1775,1776,3.3095695911657836,0.4409225175377655,True,0.0,0.0
94,7072,1776,1876,3.1507756097798034,0.5234819103150641,True,0.0,0.0
95,7468,1876,1877,3.0011453327463147,0.2859394906616321,True,0.0,0.0
96,7472,1877,1878,2.8374771629370645,0.3555690342342257,True,0.0,0.0
97,7478,1878,1978,2.7140680766499305,0.3791559201398686,True,0.0,0.0
98,7874,1978,1979,2.587469905533999,0.3337215518284453,True,0.0,0.0
99,7878,1979,1980,2.447578762950362,0.306442844594907,True,0.0,0.0
100,7884,1980,2080,2.3561633967839732,0.2430411158045382,True,0.0,0.0
101,8280,2080,2081,2.2802340600850597,0.3636474394662636,True,0.0,0.0
102,8284,2081,2082,2.1972609225774864,0.264848369968004,True,0.0,0.0
103,8290,2082,2182,2.2164378879611912,0.2112572200233251,True,0.0,0.0
104,8688,2182,2282,2.177169500913557,0.2728211232289448,True,0.0,0.0
105,9086,2282,2382,2.2885465694087905,0.3491884315628972,True,0.0,0.0
106,9484,2382,2482,2.517038972281699,0.4563783517332882,True,0.0,0.0
107,9882,2482,2582,2.814697011741548,0.6064262436942234,True,0.0,0.0
108,10280,2582,2682,3.1272030139374953,0.7726911446694604,True,0.0,0.0
109,10678,2682,2782,3.4038513700306816,0.8869779227413557,True,0.0,0.0
110,11076,2782,2882,3.608090127295686,0.8750786705096112,True,0.0,0.0
111,11474,2882,2982,3.7253501721480977,0.7059969271183189,True,0.0,0.0
112,11872,2982,3082,3.7646239986552272,0.4183539253680521,True,0.0,0.0
113,12270,3082,3182,3.7524512212062793,0.1039300089302748,True,0.0,0.0
114,12668,3182,3282,3.721529356605719,0.1405060987529385,True,0.0,0.0
115,13066,3282,3382,3.698855197968087,0.2601985066521375,True,0.0,0.0
116,13464,3382,3482,3.6983629745340534,0.2588310784580341,True,0.0,0.0
117,13862,3482,3582,3.72044230721637,0.1792182827386188,True,0.0,0.0
118,14260,3582,3682,3.7571521079717063,0.0681651155819413,True,0.0,0.0
119,14658,3682,3782,3.7995071121071864,0.0475873378899485,True,0.0,0.0
120,15054,3782,3783,3.8430496944615022,0.1615543291245393,True,0.0,0.0
121,15060,3783,3883,3.886806969158444,0.0560212382879234,True,0.0,0.0
122,15458,3883,3983,3.8383892620728366,0.1248578121416033,True,0.0,0.0
123,15854,3983,3984,3.811279538183011,0.189222778362037,True,0.0,0.0
124,15860,3984,4084,3.797815396905047,0.042316159995313,True,0.0,0.0
125,16258,4084,4184,3.7154345585105153,0.0475104565034185,True,0.0,0.0
126,16654,4184,4185,3.703387730711092,0.0580708383957375,True,0.0,0.0
127,16660,4185,4285,3.646142641887006,0.0969280786505892,True,0.0,0.0
128,17056,4285,4286,3.654366006587947,0.0594963848680212,True,0.0,0.0
