order,edge_id,u,v,nominal_forecast,deviation_abs,covered_by_pi,rho_implied,robust_cost_component
1,0,0,1,6.027519135152206,1.3095375175487505,False,1.1029897494995202,1.1029897494995202
2,4,1,2,5.708362571349446,1.3854772292817392,False,1.178929461232509,1.178929461232509
3,8,2,3,5.102958999881394,1.279144714933632,False,1.0725969468844017,1.0725969468844017
4,12,3,4,4.280282119088243,1.0131617792682317,False,0.8066140112190014,0.8066140112190014
5,16,4,5,3.345316887254168,0.6631727412739337,False,0.45662497322470347,0.45662497322470347
6,20,5,6,2.4289190060498314,0.3253966181938814,False,0.11884885014465119,0.11884885014465119
7,24,6,7,1.666202076511834,0.0810034600984255,True,0.0,0.0
8,28,7,8,1.168825484195043,0.0275014435937743,True,0.0,0.0
9,34,8,23,1.0,0.0,True,0.0,0.0
10,92,23,38,1.3307093052022427,0.2090587287022765,False,0.0025109606530462902,0.0025109606530462902
11,150,38,53,1.9617745116223249,0.2065477680492302,True,0.0,0.0
12,208,53,68,2.835943312668382,0.083064020248921,True,0.0,0.0
13,266,68,83,3.872297033722385,0.0316569749153248,True,0.0,0.0
14,324,83,98,4.968054042017996,0.17981770485531,True,0.0,0.0
15,382,98,113,6.003453429028795,0.4763481578158579,False,0.2698003897666277,0.2698003897666277
16,440,113,128,6.855619672903353,0.7404676838966546,False,0.5339199158474244,0.5339199158474244
17,498,128,143,7.421638387102922,0.821449859258971,False,0.6149020912097407,0.6149020912097407
18,556,143,158,7.643859115533563,0.712873528805896,False,0.5063257607566658,0.5063257607566658
19,614,158,173,7.528389204354876,0.5177953245454416,False,0.31124755649621144,0.31124755649621144
20,672,173,188,7.150607798310394,0.3139078830102164,False,0.10736011496098619,0.10736011496098619
21,730,188,203,6.644668146816639,0.0653958010073347,True,0.0,0.0
22,788,203,218,6.175387233759844,0.3264537248779984,False,0.1199059568287682,0.1199059568287682
23,828,218,219,5.8948011608957245,0.8906600509191476,False,0.6841122828699173,0.6841122828699173
24,830,219,220,6.646102182952286,0.8126913093273327,False,0.6061435412781024,0.6061435412781024
25,832,220,221,7.314118317782994,0.7620851286621235,False,0.5555373606128933,0.5555373606128933
26,834,221,222,7.839964423684467,0.7919244660123725,False,0.5853766979631423,0.5853766979631423
27,836,222,223,8.199738090457245,0.9797808473441272,False,0.7732330792948969,0.7732330792948969
28,838,223,224,8.406999165642391,1.4025304495492907,False,1.1959826815000605,1.1959826815000605
