node_id,x,y
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,0
40,0,1
41,1,1
42,2,1
43,3,1
44,4,1
45,5,1
46,6,1
47,7,1
48,8,1
49,9,1
50,10,1
51,11,1
52,12,1
53,13,1
54,14,1
55,15,1
56,16,1
57,17,1
58,18,1
59,19,1
60,20,1
61,21,1
62,22,1
63,23,1
64,24,1
65,25,1
66,26,1
67,27,1
68,28,1
69,29,1
70,30,1
71,31,1
72,32,1
73,33,1
74,34,1
75,35,1
76,36,1
77,37,1
78,38,1
79,39,1
80,0,2
81,1,2
82,2,2
83,3,2
84,4,2
85,5,2
86,6,2
87,7,2
88,8,2
89,9,2
90,10,2
91,11,2
92,12,2
93,13,2
94,14,2
95,15,2
96,16,2
97,17,2
98,18,2
99,19,2
100,20,2
101,21,2
102,22,2
103,23,2
104,24,2
105,25,2
106,26,2
107,27,2
108,28,2
109,29,2
110,30,2
111,31,2
112,32,2
113,33,2
114,34,2
115,35,2
116,36,2
117,37,2
118,38,2
119,39,2
120,0,3
121,1,3
122,2,3
123,3,3
124,4,3
125,5,3
126,6,3
127,7,3
128,8,3
129,9,3
130,10,3
131,11,3
132,12,3
133,13,3
134,14,3
135,15,3
136,16,3
137,17,3
138,18,3
139,19,3
140,20,3
141,21,3
142,22,3
143,23,3
144,24,3
145,25,3
146,26,3
147,27,3
148,28,3
149,29,3
150,30,3
151,31,3
152,32,3
153,33,3
154,34,3
155,35,3
156,36,3
157,37,3
158,38,3
159,39,3
160,0,4
161,1,4
162,2,4
163,3,4
164,4,4
165,5,4
166,6,4
167,7,4
168,8,4
169,9,4
170,10,4
171,11,4
172,12,4
173,13,4
174,14,4
175,15,4
176,16,4
177,17,4
178,18,4
179,19,4
180,20,4
181,21,4
182,22,4
183,23,4
184,24,4
185,25,4
186,26,4
187,27,4
188,28,4
189,29,4
190,30,4
191,31,4
192,32,4
193,33,4
194,34,4
195,35,4
196,36,4
197,37,4
198,38,4
199,39,4
200,0,5
201,1,5
202,2,5
203,3,5
204,4,5
205,5,5
206,6,5
207,7,5
208,8,5
209,9,5
210,10,5
211,11,5
212,12,5
213,13,5
214,14,5
215,15,5
216,16,5
217,17,5
218,18,5
219,19,5
220,20,5
221,21,5
222,22,5
223,23,5
224,24,5
225,25,5
226,26,5
227,27,5
228,28,5
229,29,5
230,30,5
231,31,5
232,32,5
233,33,5
234,34,5
235,35,5
236,36,5
237,37,5
238,38,5
239,39,5
240,0,6
241,1,6
242,2,6
243,3,6
244,4,6
245,5,6
246,6,6
247,7,6
248,8,6
249,9,6
250,10,6
251,11,6
252,12,6
253,13,6
254,14,6
255,15,6
256,16,6
257,17,6
258,18,6
259,19,6
260,20,6
261,21,6
262,22,6
263,23,6
264,24,6
265,25,6
266,26,6
267,27,6
268,28,6
269,29,6
270,30,6
271,31,6
272,32,6
273,33,6
274,34,6
275,35,6
276,36,6
277,37,6
278,38,6
279,39,6
280,0,7
281,1,7
282,2,7
283,3,7
284,4,7
285,5,7
286,6,7
287,7,7
288,8,7
289,9,7
290,10,7
291,11,7
292,12,7
293,13,7
294,14,7
295,15,7
296,16,7
297,17,7
298,18,7
299,19,7
300,20,7
301,21,7
302,22,7
303,23,7
304,24,7
305,25,7
306,26,7
307,27,7
308,28,7
309,29,7
310,30,7
311,31,7
312,32,7
313,33,7
314,34,7
315,35,7
316,36,7
317,37,7
318,38,7
319,39,7
320,0,8
321,1,8
322,2,8
323,3,8
324,4,8
325,5,8
326,6,8
327,7,8
328,8,8
329,9,8
330,10,8
331,11,8
332,12,8
333,13,8
334,14,8
335,15,8
336,16,8
337,17,8
338,18,8
339,19,8
340,20,8
341,21,8
342,22,8
343,23,8
344,24,8
345,25,8
346,26,8
347,27,8
348,28,8
349,29,8
350,30,8
351,31,8
352,32,8
353,33,8
354,34,8
355,35,8
356,36,8
357,37,8
358,38,8
359,39,8
360,0,9
361,1,9
362,2,9
363,3,9
364,4,9
365,5,9
366,6,9
367,7,9
368,8,9
369,9,9
370,10,9
371,11,9
372,12,9
373,13,9
374,14,9
375,15,9
376,16,9
377,17,9
378,18,9
379,19,9
380,20,9
381,21,9
382,22,9
383,23,9
384,24,9
385,25,9
386,26,9
387,27,9
388,28,9
389,29,9
390,30,9
391,31,9
392,32,9
393,33,9
394,34,9
395,35,9
396,36,9
397,37,9
398,38,9
399,39,9
400,0,10
401,1,10
402,2,10
403,3,10
404,4,10
405,5,10
406,6,10
407,7,10
408,8,10
409,9,10
410,10,10
411,11,10
412,12,10
413,13,10
414,14,10
415,15,10
416,16,10
417,17,10
418,18,10
419,19,10
420,20,10
421,21,10
422,22,10
423,23,10
424,24,10
425,25,10
426,26,10
427,27,10
428,28,10
429,29,10
430,30,10
431,31,10
432,32,10
433,33,10
434,34,10
435,35,10
436,36,10
437,37,10
438,38,10
439,39,10
440,0,11
441,1,11
442,2,11
443,3,11
444,4,11
445,5,11
446,6,11
447,7,11
448,8,11
449,9,11
450,10,11
451,11,11
452,12,11
453,13,11
454,14,11
455,15,11
456,16,11
457,17,11
458,18,11
459,19,11
460,20,11
461,21,11
462,22,11
463,23,11
464,24,11
465,25,11
466,26,11
467,27,11
468,28,11
469,29,11
470,30,11
471,31,11
472,32,11
473,33,11
474,34,11
475,35,11
476,36,11
477,37,11
478,38,11
479,39,11
480,0,12
481,1,12
482,2,12
483,3,12
484,4,12
485,5,12
486,6,12
487,7,12
488,8,12
489,9,12
490,10,12
491,11,12
492,12,12
493,13,12
494,14,12
495,15,12
496,16,12
497,17,12
498,18,12
499,19,12
500,20,12
501,21,12
502,22,12
503,23,12
504,24,12
505,25,12
506,26,12
507,27,12
508,28,12
509,29,12
510,30,12
511,31,12
512,32,12
513,33,12
514,34,12
515,35,12
516,36,12
517,37,12
518,38,12
519,39,12
520,0,13
521,1,13
522,2,13
523,3,13
524,4,13
525,5,13
526,6,13
527,7,13
528,8,13
529,9,13
530,10,13
531,11,13
532,12,13
533,13,13
534,14,13
535,15,13
536,16,13
537,17,13
538,18,13
539,19,13
540,20,13
541,21,13
542,22,13
543,23,13
544,24,13
545,25,13
546,26,13
547,27,13
548,28,13
549,29,13
550,30,13
551,31,13
552,32,13
553,33,13
554,34,13
555,35,13
556,36,13
557,37,13
558,38,13
559,39,13
560,0,14
561,1,14
562,2,14
563,3,14
564,4,14
565,5,14
566,6,14
567,7,14
568,8,14
569,9,14
570,10,14
571,11,14
572,12,14
573,13,14
574,14,14
575,15,14
576,16,14
577,17,14
578,18,14
579,19,14
580,20,14
581,21,14
582,22,14
583,23,14
584,24,14
585,25,14
586,26,14
587,27,14
588,28,14
589,29,14
590,30,14
591,31,14
592,32,14
593,33,14
594,34,14
595,35,14
596,36,14
597,37,14
598,38,14
599,39,14
600,0,15
601,1,15
602,2,15
603,3,15
604,4,15
605,5,15
606,6,15
607,7,15
608,8,15
609,9,15
610,10,15
611,11,15
612,12,15
613,13,15
614,14,15
615,15,15
616,16,15
617,17,15
618,18,15
619,19,15
620,20,15
621,21,15
622,22,15
623,23,15
624,24,15
625,25,15
626,26,15
627,27,15
628,28,15
629,29,15
630,30,15
631,31,15
632,32,15
633,33,15
634,34,15
635,35,15
636,36,15
637,37,15
638,38,15
