edge_id,u,v,nominal_forecast,deviation_abs
0,0,1,7.550039084433409,0.16929306887577944
1,1,0,7.550039084433409,0.16929306887577944
2,0,40,7.550039084433409,0.16929306887577944
3,40,0,7.550039084433409,0.16929306887577944
4,1,2,7.271541302626373,0.2965481614472205
5,2,1,7.271541302626373,0.2965481614472205
6,1,41,7.271541302626373,0.2965481614472205
7,41,1,7.271541302626373,0.2965481614472205
8,2,3,6.94108792911808,0.3169109861492956
9,3,2,6.94108792911808,0.3169109861492956
10,2,42,6.94108792911808,0.3169109861492956
11,42,2,6.94108792911808,0.3169109861492956
12,3,4,6.617274061853249,0.16561694214631206
13,4,3,6.617274061853249,0.16561694214631206
14,3,43,6.617274061853249,0.16561694214631206
15,43,3,6.617274061853249,0.16561694214631206
16,4,5,6.321544591083634,0.1714259924173236
17,5,4,6.321544591083634,0.1714259924173236
18,4,44,6.321544591083634,0.1714259924173236
19,44,4,6.321544591083634,0.1714259924173236
20,5,6,6.0329262116824065,0.6444689507093653
21,6,5,6.0329262116824065,0.6444689507093653
22,5,45,6.0329262116824065,0.6444689507093653
23,45,5,6.0329262116824065,0.6444689507093653
24,6,7,5.707371568101437,1.1592061848952069
25,7,6,5.707371568101437,1.1592061848952069
26,6,46,5.707371568101437,1.1592061848952069
27,46,6,5.707371568101437,1.1592061848952069
28,7,8,5.306507939998021,1.6122925482842145
29,8,7,5.306507939998021,1.6122925482842145
30,7,47,5.306507939998021,1.6122925482842145
31,47,7,5.306507939998021,1.6122925482842145
32,8,9,4.818099017211775,1.921792527157704
33,9,8,4.818099017211775,1.921792527157704
34,8,48,4.818099017211775,1.921792527157704
35,48,8,4.818099017211775,1.921792527157704
36,9,10,4.2602378473584075,2.0408690791868143
37,10,9,4.2602378473584075,2.0408690791868143
38,9,49,4.2602378473584075,2.0408690791868143
39,49,9,4.2602378473584075,2.0408690791868143
40,10,11,3.6740644693855673,1.957158775127704
41,11,10,3.6740644693855673,1.957158775127704
42,10,50,3.6740644693855673,1.957158775127704
43,50,10,3.6740644693855673,1.957158775127704
44,11,12,3.115361036055136,1.6877672621737354
45,12,11,3.115361036055136,1.6877672621737354
46,11,51,3.115361036055136,1.6877672621737354
47,51,11,3.115361036055136,1.6877672621737354
48,12,13,2.650362002208294,1.2766303448569967
49,13,12,2.650362002208294,1.2766303448569967
50,12,52,2.650362002208294,1.2766303448569967
51,52,12,2.650362002208294,1.2766303448569967
52,13,14,2.351362876682887,0.7921879797917024
53,14,13,2.351362876682887,0.7921879797917024
54,13,53,2.351362876682887,0.7921879797917024
55,53,13,2.351362876682887,0.7921879797917024
56,14,15,2.2831059769072466,0.3178921332243898
57,15,14,2.2831059769072466,0.3178921332243898
58,14,54,2.2831059769072466,0.3178921332243898
59,54,14,2.2831059769072466,0.3178921332243898
60,15,16,2.4769930015132973,0.06837711161735349
61,16,15,2.4769930015132973,0.06837711161735349
62,15,55,2.4769930015132973,0.06837711161735349
63,55,15,2.4769930015132973,0.06837711161735349
64,16,17,2.9030889040204144,0.31981011466161613
65,17,16,2.9030889040204144,0.31981011466161613
66,16,56,2.9030889040204144,0.31981011466161613
67,56,16,2.9030889040204144,0.31981011466161613
68,17,18,3.4589499030353092,0.43697429914428065
69,18,17,3.4589499030353092,0.43697429914428065
70,17,57,3.4589499030353092,0.43697429914428065
71,57,17,3.4589499030353092,0.43697429914428065
72,18,19,3.990298228742688,0.46280309620648374
73,19,18,3.990298228742688,0.46280309620648374
74,18,58,3.990298228742688,0.46280309620648374
75,58,18,3.990298228742688,0.46280309620648374
76,19,20,4.341521131029187,0.4564067464171364
77,20,19,4.341521131029187,0.4564067464171364
78,19,59,4.341521131029187,0.4564067464171364
79,59,19,4.341521131029187,0.4564067464171364
80,20,21,4.414336402960415,0.46029783805166957
81,21,20,4.414336402960415,0.46029783805166957
82,20,60,4.414336402960415,0.46029783805166957
83,60,20,4.414336402960415,0.46029783805166957
84,21,22,4.204684095082323,0.4813826428676977
85,22,21,4.204684095082323,0.4813826428676977
86,21,61,4.204684095082323,0.4813826428676977
87,61,21,4.204684095082323,0.4813826428676977
88,22,23,3.798230883647707,0.49775614795154643
89,23,22,3.798230883647707,0.49775614795154643
90,22,62,3.798230883647707,0.49775614795154643
91,62,22,3.798230883647707,0.49775614795154643
92,23,24,3.328405681267142,0.48574034935076327
93,24,23,3.328405681267142,0.48574034935076327
94,23,63,3.328405681267142,0.48574034935076327
95,63,23,3.328405681267142,0.48574034935076327
96,24,25,2.922520645696279,0.44689284533078055
97,25,24,2.922520645696279,0.44689284533078055
98,24,64,2.922520645696279,0.44689284533078055
99,64,24,2.922520645696279,0.44689284533078055
100,25,26,2.6666914480121346,0.41388478904413306
101,26,25,2.6666914480121346,0.41388478904413306
102,25,65,2.6666914480121346,0.41388478904413306
103,65,25,2.6666914480121346,0.41388478904413306
104,26,27,2.605271746475046,0.42877969477691513
105,27,26,2.605271746475046,0.42877969477691513
106,26,66,2.605271746475046,0.42877969477691513
107,66,26,2.605271746475046,0.42877969477691513
108,27,28,2.7655866315869764,0.5077038871516399
109,28,27,2.7655866315869764,0.5077038871516399
110,27,67,2.7655866315869764,0.5077038871516399
111,67,27,2.7655866315869764,0.5077038871516399
112,28,29,3.1812281496261914,0.6176828077968768
113,29,28,3.1812281496261914,0.6176828077968768
114,28,68,3.1812281496261914,0.6176828077968768
115,68,28,3.1812281496261914,0.6176828077968768
116,29,30,3.889457248947224,0.6853834127827731
117,30,29,3.889457248947224,0.6853834127827731
118,29,69,3.889457248947224,0.6853834127827731
119,69,29,3.889457248947224,0.6853834127827731
120,30,31,4.89893179167124,0.6368048980117917
121,31,30,4.89893179167124,0.6368048980117917
122,30,70,4.89893179167124,0.6368048980117917
123,70,30,4.89893179167124,0.6368048980117917
124,31,32,6.1485579644606485,0.44514840382526977
125,32,31,6.1485579644606485,0.44514840382526977
126,31,71,6.1485579644606485,0.44514840382526977
127,71,31,6.1485579644606485,0.44514840382526977
128,32,33,7.489147157903781,0.1566921219266071
129,33,32,7.489147157903781,0.1566921219266071
130,32,72,7.489147157903781,0.1566921219266071
131,72,32,7.489147157903781,0.1566921219266071
132,33,34,8.708384176156713,0.12269295584997053
133,34,33,8.708384176156713,0.12269295584997053
134,33,73,8.708384176156713,0.12269295584997053
135,73,33,8.708384176156713,0.12269295584997053
136,34,35,9.593248731353544,0.272694565605633
137,35,34,9.593248731353544,0.272694565605633
138,34,74,9.593248731353544,0.272694565605633
139,74,34,9.593248731353544,0.272694565605633
140,35,36,10.0,0.20709373805514275
141,36,35,10.0,0.20709373805514275
142,35,75,10.0,0.20709373805514275
143,75,35,10.0,0.20709373805514275
144,36,37,9.896256810480757,0.10353535780729928
145,37,36,9.896256810480757,0.10353535780729928
146,36,76,9.896256810480757,0.10353535780729928
147,76,36,9.896256810480757,0.10353535780729928
148,37,38,9.356232870496257,0.6437671295037433
149,38,37,9.356232870496257,0.6437671295037433
150,37,77,9.356232870496257,0.6437671295037433
151,77,37,9.356232870496257,0.6437671295037433
152,38,39,8.517605969778609,1.381620913390453
153,39,38,8.517605969778609,1.381620913390453
154,38,78,8.517605969778609,1.381620913390453
155,78,38,8.517605969778609,1.381620913390453
156,39,79,7.528640044849512,2.283077691931936
157,79,39,7.528640044849512,2.283077691931936
158,40,41,7.358862704308823,0.2857761321866823
159,41,40,7.358862704308823,0.2857761321866823
160,40,80,7.358862704308823,0.2857761321866823
161,80,40,7.358862704308823,0.2857761321866823
162,41,42,7.376083048847667,0.11436800273660275
163,42,41,7.376083048847667,0.11436800273660275
164,41,81,7.376083048847667,0.11436800273660275
165,81,41,7.376083048847667,0.11436800273660275
166,42,43,7.2374709365191805,0.06583859060836517
