order,edge_id,u,v,nominal_forecast,deviation_abs,covered_by_pi,rho_implied,robust_cost_component
1,0,0,1,9.753746467089002,3.708298747640481,False,3.352330254194687,3.352330254194687
2,4,1,2,9.83691539281502,2.790632009482354,False,2.4346635160365597,2.4346635160365597
3,8,2,3,9.949153850356906,1.9456135183877432,False,1.589645024941949,1.589645024941949
4,12,3,4,10.0,1.2608734302584548,False,0.9049049368126605,0.9049049368126605
5,16,4,5,9.888906499080768,0.7767724262815623,False,0.420803932835768,0.420803932835768
6,20,5,6,9.530067055647423,0.4723210058310236,False,0.11635251238522931,0.11635251238522931
7,24,6,7,8.871973830092978,0.3059448497739279,True,0.0,0.0
8,28,7,8,7.912264168615532,0.2631125779921506,True,0.0,0.0
9,32,8,9,6.70642674055756,0.3559684934457943,True,0.0,0.0
10,36,9,10,5.364572372828307,0.5697962218879145,False,0.21382772844212017,0.21382772844212017
11,40,10,11,4.030839605928279,0.8100290081949182,False,0.4540605147491239,0.4540605147491239
12,44,11,12,2.848160694064328,0.9139336168336274,False,0.5579651233878331,0.5579651233878331
13,48,12,13,1.9223673520694808,0.7395870486363827,False,0.3836185551905884,0.3836185551905884
14,52,13,14,1.3043085892170827,0.2751926933677671,True,0.0,0.0
15,56,14,29,1.0,0.3146311681800224,True,0.0,0.0
16,114,29,44,1.191821512408379,0.0516020389561779,True,0.0,0.0
17,172,44,59,1.5695663058681733,0.0041571542877465,True,0.0,0.0
18,230,59,74,2.1193297494733216,0.0789976215175096,True,0.0,0.0
19,288,74,89,2.816859625817086,0.2468069416611369,True,0.0,0.0
20,346,89,104,3.6268257862865623,0.4739632105746132,False,0.11799471712881893,0.11799471712881893
21,404,104,119,4.504009188935486,0.7509768880718761,False,0.39500839462608184,0.39500839462608184
22,462,119,134,5.3958405516204255,1.0622088540495491,False,0.7062403606037548,0.7062403606037548
23,520,134,149,6.246218526321547,1.3737163582175764,False,1.0177478647717821,1.0177478647717821
24,578,149,164,7.001332596405376,1.6365651465989703,False,1.280596653153176,1.280596653153176
25,636,164,179,7.618008628965701,1.7979313514478674,False,1.4419628580020731,1.4419628580020731
26,694,179,194,8.073136620678415,1.8093671179100603,False,1.453398624464266,1.453398624464266
27,752,194,209,8.369856841018432,1.6301431589815678,False,1.2741746655357735,1.2741746655357735
28,810,209,224,8.534892658089461,1.2343202184380306,False,0.8783517249922363,0.8783517249922363
